Price,Close,High,Low,Open,Volume,Symbol
Ticker,XLF,XLF,XLF,XLF,XLF,
Date,,,,,,
2010-09-24,9.030240058898926,9.030240058898926,8.894260955575108,8.900442483559482,94600257,Financials
2010-09-27,8.931347846984863,9.03024142545117,8.91280543707557,9.03024142545117,76726384,Financials
2010-09-28,8.9498872756958,8.974611208293913,8.8448129204076,8.96224960480313,101337767,Financials
2010-09-29,8.881898880004883,8.962250032142837,8.838633265724145,8.918983692245517,82229692,Financials
2010-09-30,8.869537353515625,9.0426019890023,8.86335655142145,8.937526902168143,132373000,Financials
2010-10-01,8.962252616882324,8.993157361612452,8.863359030102858,8.956071813059657,162650799,Financials
2010-10-04,8.900444984436035,9.017880988037529,8.857177904471193,8.949890691654861,105309096,Financials
2010-10-05,9.10440731048584,9.141492112055243,8.912801051144513,8.980790579638125,163731125,Financials
2010-10-06,9.098227500915527,9.147674634008656,9.067323496242604,9.122950704653865,79712666,Financials
2010-10-07,9.061141014099121,9.172396870421448,9.011694611837086,9.1414921433913,88379153,Financials
2010-10-08,9.085867881774902,9.104410288625001,9.036420737891362,9.07350627720817,76830034,Financials
2010-10-11,9.073507308959961,9.104411323890899,9.036421765426143,9.092048992301832,50798200,Financials
2010-10-12,9.178576469421387,9.190938068369022,9.005512632921937,9.024055031343389,81038084,Financials
2010-10-13,9.184762001037598,9.271293231417216,9.160038066741109,9.234207692780783,138693077,Financials
2010-10-14,9.024057388305664,9.116770130244525,8.937525447454961,9.098227726980047,208325454,Financials
2010-10-15,8.869537353515625,9.098229207849878,8.80772933257387,9.05496359319065,163544136,Financials
2010-10-18,9.067326545715332,9.079687426125192,8.838634657373968,8.838634657373968,96393824,Financials
2010-10-19,8.943704605102539,9.129130054907614,8.906619079771723,8.99933180467426,180636325,Financials
2010-10-20,9.030240058898926,9.079686477840955,8.869537746104093,8.94988817688489,118915708,Financials
2010-10-21,9.030240058898926,9.135315150383976,8.956069704869263,9.067325598722068,90587936,Financials
2010-10-22,9.024057388305664,9.0796845980991,8.999333458336556,9.048780592658302,50796353,Financials
2010-10-25,8.993156433105469,9.11677322241267,8.98079482673642,9.104411616043622,56338931,Financials
2010-10-26,9.00551700592041,9.02405941334589,8.937527453077019,8.956069860502499,58349523,Financials
2010-10-27,9.011697769165039,9.042602507022933,8.943708216617626,8.974612228858891,77185177,Financials
2010-10-28,9.011697769165039,9.085868124160704,8.956069821514133,9.061144188751063,71284256,Financials
2010-10-29,8.999333381652832,9.017876510375773,8.949886247752428,8.986971779581847,49026545,Financials
2010-11-01,8.999333381652832,9.0796845207307,8.912802167155936,9.017876510375773,80929756,Financials
2010-11-02,9.024057388305664,9.06114219483462,8.999333458336556,9.05496211936293,67197828,Financials
2010-11-03,9.110591888427734,9.116772691252153,8.962251169408331,9.030240726093613,133181275,Financials
2010-11-04,9.413454055786133,9.43199718973127,9.19712450738733,9.203304584546817,204934664,Financials
2010-11-05,9.629781723022461,9.691590459669085,9.413451507567515,9.438174711979576,203857416,Financials
2010-11-08,9.55561351776123,9.623603070691676,9.469081557381564,9.617422268208603,110754301,Financials
2010-11-09,9.376368522644043,9.592699522486866,9.314560494822286,9.58651871970469,150410720,Financials
2010-11-10,9.48144245147705,9.48762325349672,9.296016214037259,9.376367365909529,149972115,Financials
2010-11-11,9.388728141784668,9.431994474378596,9.339281733810417,9.388728141784668,73585118,Financials
2010-11-12,9.23420524597168,9.370185034529987,9.209482769459157,9.339281031868829,109245218,Financials
2010-11-15,9.277477264404297,9.394913262961662,9.265114931109549,9.296018950304436,88027456,Financials
2010-11-16,9.122955322265625,9.240392050696594,9.048784947892598,9.22803044257056,166446464,Financials
2010-11-17,9.061141014099121,9.1414921433913,9.036417812968104,9.116768942260284,111420026,Financials
2010-11-18,9.184762001037598,9.246570022737325,9.147676462401163,9.172399671081054,105170116,Financials
2010-11-19,9.184762001037598,9.184762001037598,9.098229319424785,9.135314858061218,53682925,Financials
2010-11-22,9.048785209655762,9.129136390416205,8.986976441620765,9.122955586174388,119643844,Financials
2010-11-23,8.906620025634766,8.980791084173198,8.900439950642378,8.94988562989637,104476201,Financials
